ID,name,number_of_students,year
ED1-AE,AGRICULTURAL ENGINEERING 1,171,1
ED2-AE,AGRICULTURAL ENGINEERING 2,108,2
ED3-AE,AGRICULTURAL ENGINEERING 3,142,3
ED4-AE,AGRICULTURAL ENGINEERING 4,78,4
ED1-AERO,AEROSPACE ENGINEERING 1,86,1
ED2-AERO,AEROSPACE ENGINEERING 2,60,2
ED3-AERO,AEROSPACE ENGINEERING 3,46,3
ED4-AERO,AEROSPACE ENGINEERING 4,24,4
ED1-AUTO,AUTOMOBILE ENGINEERING 1,134,1
ED2-AUTO,AUTOMOBILE ENGINEERING 2,42,2
ED3-AUTO,AUTOMOBILE ENGINEERING 3,41,3
ED4-AUTO,AUTOMOBILE ENGINEERING 4,0,4
ED1-BME,BIOMEDICAL ENGINEERING 1,77,1
ED2-BME,BIOMEDICAL ENGINEERING 2,70,2
ED3-BME,BIOMEDICAL ENGINEERING 3,76,3
ED4-BME,BIOMEDICAL ENGINEERING 4,76,4
ED1-CE,CIVIL ENGINEERING 1,324,1
ED2-CE,CIVIL ENGINEERING 2,188,2
ED3-CE,CIVIL ENGINEERING 3,225,3
ED4-CE,CIVIL ENGINEERING 4,189,4
ED1-CHE,CHEMICAL ENGINEERING 1,226,1
ED2-CHE,CHEMICAL ENGINEERING 2,143,2
ED3-CHE,CHEMICAL ENGINEERING 3,123,3
ED4-CHE,CHEMICAL ENGINEERING 4,111,4
ED1-COE,COMPUTER ENGINEERING 1,257,1
ED2-COE,COMPUTER ENGINEERING 2,169,2
ED3-COE,COMPUTER ENGINEERING 3,138,3
ED4-COE,COMPUTER ENGINEERING 4,119,4
ED1-EE,ELECTRICAL ENGINEERING 1,314,1
ED2-EE,ELECTRICAL ENGINEERING 2,235,2
ED3-EE,ELECTRICAL ENGINEERING 3,183,3
ED4-EE,ELECTRICAL ENGINEERING 4,129,4
ED1-GEOL,GEOLOGICAL ENGINEERING 1,202,1
ED2-GEOL,GEOLOGICAL ENGINEERING 2,166,2
ED3-GEOL,GEOLOGICAL ENGINEERING 3,144,3
ED4-GEOL,GEOLOGICAL ENGINEERING 4,112,4
ED1-GEOM,GEOMATIC ENGINEERING 1,169,1
ED2-GEOM,GEOMATIC ENGINEERING 2,96,2
ED3-GEOM,GEOMATIC ENGINEERING 3,131,3
ED4-GEOM,GEOMATIC ENGINEERING 4,115,4
ED1-IND,INDUSTRIAL ENGINEERING 1,158,1
ED2-IND,INDUSTRIAL ENGINEERING 2,43,2
ED3-IND,INDUSTRIAL ENGINEERING 3,42,3
ED4-IND,INDUSTRIAL ENGINEERING 4,0,4
ED1-MARI,MARINE ENGINEERING 1,76,1
ED2-MARI,MARINE ENGINEERING 2,30,2
ED3-MARI,MARINE ENGINEERING 3,27,3
ED4-MARI,MARINE ENGINEERING 4,0,4
ED1-ME,MECHANICAL ENGINEERING 1,279,1
ED2-ME,MECHANICAL ENGINEERING 2,183,2
ED3-ME,MECHANICAL ENGINEERING 3,167,3
ED4-ME,MECHANICAL ENGINEERING 4,170,4
ED1-METE,METALLURGICAL ENGINEERING 1,147,1
ED2-METE,METALLURGICAL ENGINEERING 2,125,2
ED3-METE,METALLURGICAL ENGINEERING 3,100,3
ED4-METE,METALLURGICAL ENGINEERING 4,85,4
ED1-MSE,MATERIALS ENGINEERING 1,158,1
ED2-MSE,MATERIALS ENGINEERING 2,127,2
ED3-MSE,MATERIALS ENGINEERING 3,110,3
ED4-MSE,MATERIALS ENGINEERING 4,85,4
ED1-PCE,PETROCHEMICAL ENGINEERING 1,158,1
ED2-PCE,PETROCHEMICAL ENGINEERING 2,127,2
ED3-PCE,PETROCHEMICAL ENGINEERING 3,110,3
ED4-PCE,PETROCHEMICAL ENGINEERING 4,83,4
ED1-PETE,PETROLEUM ENGINEERING 1,281,1
ED2-PETE,PETROLEUM ENGINEERING 2,123,2
ED3-PETE,PETROLEUM ENGINEERING 3,112,3
ED4-PETE,PETROLEUM ENGINEERING 4,73,4
ED1-TEL,TELECOMMUNICATION ENGINEERING 1,210,1
ED2-TEL,TELECOMMUNICATION ENGINEERING 2,109,2
ED3-TEL,TELECOMMUNICATION ENGINEERING 3,97,3
ED4-TEL,TELECOMMUNICATION ENGINEERING 4,78,4
